,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID1158214067,0.0,6,1,-37.7874421,144.9804091,-37.799743400000004,144.9724648,1964.0,2018-07-09,19:45:26,495.96000000000015,19:53:41,7.05
1,ID5743777261,2.0,2,3,-37.8230565,144.942479,-37.8214674,144.9689917,2749.0,2018-04-18,14:28:41,691.3800000000003,14:40:12,67.09
2,ID3415103695,1.0,7,1,-37.8618349,144.90571599999998,-37.8095471,144.9394966,10738.0,2018-03-08,12:27:38,3475.9199999999987,13:25:33,19.51
3,ID1580893576,0.0,4,8,-37.8037097,145.0116178,-37.807202000000004,145.0266373,1390.0,2018-01-11,17:06:44,368.88,17:12:52,6.33
4,ID1978988746,0.0,9,1,-38.1109156,144.65417250000002,-37.808196200000005,144.97330580000002,44547.0,2018-03-22,01:36:27,10764.840000000004,4:35:51,26.5
5,ID3203270648,1.0,1,9,-37.8208419,144.9480733,-38.1109156,144.65417250000002,41920.0,2018-05-23,08:47:10,10076.1,11:35:06,39.36
6,ID5780318190,2.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-04-08,12:16:09,13204.979999999996,15:56:13,901.05
7,ID1802120306,0.0,2,6,-37.824940600000005,144.93296930000002,-37.7907967,144.985865,7532.0,2018-02-26,05:30:32,2107.6800000000007,6:05:39,16.42
8,ID5292670203,2.0,1,7,-37.8058648,144.95596909999998,-37.8618349,144.90571599999998,9289.0,2018-04-05,08:49:10,3121.14,9:41:11,217.0
9,ID5690301539,2.0,2,8,-37.81509260000001,144.9412892,-37.8158343,145.04645,9591.0,2018-06-23,07:44:39,2738.46,8:30:17,201.44
10,ID3321124343,1.0,4,2,-37.8080273,144.9932736,-37.819266299999995,144.9501875,4712.0,2018-06-01,22:37:11,1135.0800000000004,22:56:06,18.5
11,ID1624110135,0.0,8,7,-37.8158343,145.04645,-37.8618349,144.90571599999998,15151.0,2018-05-21,14:49:33,4917.479999999999,16:11:30,16.66
12,ID3765156164,1.0,5,6,-37.808022799999996,144.93377990000002,-37.773845,144.9836895,7420.0,2018-02-15,17:30:58,1653.66,17:58:31,13.78
13,ID1128373472,0.0,4,1,-37.8080273,144.9932736,-37.8201633,144.94280759999998,5346.0,2018-07-26,19:45:08,1284.36,20:06:32,11.36
14,ID3392701012,1.0,6,2,-37.7738026,144.98364660000001,-37.8215822,144.93602090000002,10523.0,2018-04-28,01:53:44,2969.099999999999,2:43:13,28.5
15,ID5304913599,2.0,7,6,-37.8618349,144.90571599999998,-37.7738026,144.98364660000001,16033.0,2018-02-08,19:47:13,5320.6799999999985,21:15:53,372.61
16,ID1175017649,0.0,8,9,-37.8158343,145.04645,-38.1109156,144.65417250000002,51032.0,2018-03-14,23:50:03,12681.059999999998,3:21:24,28.11
17,ID5421745863,2.0,7,4,-37.8618349,144.90571599999998,-37.8054576,145.0004183,11517.0,2018-01-28,04:22:04,3705.8999999999983,5:23:49,280.95
18,ID5132276627,2.0,8,5,-37.807202000000004,145.0266373,-37.8094878,144.9362746,8814.0,2018-06-17,11:30:35,2204.8199999999993,12:07:19,166.92
19,ID3939515722,1.0,6,7,-37.7738026,144.98364660000001,-37.8618349,144.90571599999998,16033.0,2018-06-15,03:04:04,5323.559999999999,4:32:47,32.34
20,ID1787866746,0.0,5,6,-37.8082105,144.9345625,-37.7874325,144.9803767,6211.0,2018-02-02,01:34:20,1567.8600000000006,2:00:27,15.61
21,ID5800311486,2.0,5,1,-37.810169099999996,144.9365608,-37.819579600000004,144.9688826,3784.0,2018-02-10,09:01:36,960.0000000000006,9:17:36,84.75
22,ID1379017262,0.0,6,8,-37.7908183,144.9857929,-37.807202000000004,145.0266373,4835.0,2018-06-21,20:20:03,1248.9600000000005,20:40:51,11.01
23,ID3860827535,1.0,3,6,-37.816736799999994,144.9851253,-37.7907967,144.985865,3205.0,2018-07-15,02:52:14,917.28,3:07:31,22.03
24,ID3201311930,1.0,1,7,-37.8120455,144.9577553,-37.8618349,144.90571599999998,8662.0,2018-05-16,12:38:00,2961.54,13:27:21,20.16
25,ID3755530111,1.0,6,3,-37.7874421,144.9804091,-37.8186074,145.0053569,5521.0,2018-07-16,04:16:20,1405.62,4:39:45,18.28
26,ID5922147809,2.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-06-03,02:45:04,12681.060000000005,6:16:25,876.73
27,ID3910326906,1.0,7,4,-37.8618349,144.90571599999998,-37.8038741,145.0152661,13011.0,2018-03-24,18:02:16,4153.259999999998,19:11:29,27.15
28,ID1940547990,0.0,3,8,-37.8248005,144.9821471,-37.8158343,145.04645,7076.0,2018-05-02,02:57:49,2068.92,3:32:17,15.4
29,ID3257832317,1.0,1,7,-37.8133046,144.97131940000003,-37.8618349,144.90571599999998,8535.0,2018-01-12,05:08:37,2905.5,5:57:02,25.66
30,ID1611755427,0.0,2,6,-37.809670399999995,144.92619390000002,-37.773845,144.9836895,8281.0,2018-03-27,14:04:52,1867.0800000000006,14:35:59,10.41
31,ID3166929848,1.0,7,3,-37.8618349,144.90571599999998,-37.825414200000004,144.99564719999998,9828.0,2018-07-14,19:02:47,3146.16,19:55:13,23.79
32,ID3940259617,1.0,1,6,-37.8082246,144.97140190000002,-37.773845,144.9836895,4513.0,2018-07-10,05:05:49,927.96,5:21:16,16.8
33,ID1189422249,0.0,6,8,-37.7738026,144.98364660000001,-37.807202000000004,145.0266373,11470.0,2018-02-15,07:07:36,3452.82,8:05:08,7.83
34,ID1934114601,0.0,4,3,-37.8110185,145.000558,-37.817650799999996,144.9693844,3590.0,2018-07-27,09:47:22,913.14,10:02:35,4.52
35,ID1531792682,0.0,9,2,-38.1109156,144.65417250000002,-37.8162679,144.9372252,42568.0,2018-06-24,10:48:13,10227.059999999996,13:38:40,19.95
36,ID1667732175,0.0,9,5,-38.1109156,144.65417250000002,-37.8069106,144.93740449999999,43868.0,2018-03-26,03:54:32,10542.720000000003,6:50:14,26.49
37,ID1557084231,0.0,5,7,-37.8167361,144.92739519999998,-37.8618349,144.90571599999998,11421.0,2018-01-12,15:33:27,3690.96,16:34:57,13.97
38,ID1962669816,0.0,4,2,-37.8166,145.0056126,-37.8197578,144.944234,5949.0,2018-05-01,12:11:21,1428.8400000000008,12:35:09,10.14
39,ID3561267666,1.0,8,3,-37.8158343,145.04645,-37.823651700000006,144.996533,5622.0,2018-06-13,05:20:38,1740.0000000000007,5:49:38,18.41
40,ID3555942860,1.0,6,7,-37.773845,144.9836895,-37.8618349,144.90571599999998,13169.0,2018-03-08,09:35:47,3866.4600000000014,10:40:13,17.93
41,ID5410647458,2.0,6,3,-37.7907967,144.985865,-37.812248700000005,145.0003405,3620.0,2018-02-04,17:38:09,1017.72,17:55:06,96.18
42,ID1670286122,0.0,8,4,-37.8158343,145.04645,-37.8165343,145.0089471,3884.0,2018-01-09,19:48:31,1265.88,20:09:36,11.33
43,ID3682225683,1.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-02-19,11:53:46,4911.5999999999985,13:15:37,20.45
44,ID3152350611,1.0,4,5,-37.800460799999996,144.995272,-37.808746299999996,144.92591409999997,7176.0,2018-07-11,00:01:30,1837.6799999999987,0:32:07,22.14
45,ID3579091043,1.0,2,6,-37.8149802,144.9354243,-37.7907967,144.985865,6406.0,2018-04-12,03:03:58,1737.1800000000005,3:32:55,19.24
46,ID3414246305,1.0,1,6,-37.809462599999996,144.97236719999998,-37.7908183,144.9857929,2883.0,2018-01-27,22:06:15,743.1600000000002,22:18:38,20.58
47,ID3346063410,1.0,2,3,-37.8255456,144.95152969999998,-37.825245,144.96819169999998,1971.0,2018-03-06,21:18:41,511.01999999999987,21:27:12,15.72
48,ID5477940997,2.0,2,8,-37.8091367,144.9372571,-37.8158343,145.04645,10169.0,2018-01-22,01:40:05,2796.600000000001,2:26:41,213.07
49,ID1141077306,0.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-01-10,22:55:53,13173.36,2:35:26,29.19
50,ID1215008915,0.0,7,1,-37.8618349,144.90571599999998,-37.798923200000004,144.9727761,10262.0,2018-04-26,12:57:04,3353.579999999998,13:52:57,12.71
51,ID1671232156,0.0,4,2,-37.8031686,144.9959577,-37.8231326,144.9375605,6594.0,2018-07-14,05:34:50,1722.5400000000009,6:03:32,18.87
52,ID1996491373,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-04-15,20:10:35,12681.060000000005,23:41:56,29.56
53,ID1840663665,0.0,2,3,-37.8240357,144.9436033,-37.821527200000006,145.0018593,5570.0,2018-04-14,12:55:38,1298.5200000000002,13:17:16,15.17
54,ID3238984420,1.0,7,2,-37.8618349,144.90571599999998,-37.8252643,144.9477532,8811.0,2018-03-26,17:40:26,2987.82,18:30:13,19.86
55,ID1461147174,0.0,2,1,-37.81524829999999,144.93410730000002,-37.815124299999994,144.94519609999998,1261.0,2018-06-15,10:25:40,299.52,10:30:39,4.87
56,ID3341671247,1.0,8,1,-37.8158343,145.04645,-37.803848200000004,144.96143490000003,7798.0,2018-07-15,00:34:43,2280.899999999999,1:12:43,25.86
