,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3926512548,1,7,2,-37.8618349,144.905716,-37.8243728,144.9525106,8304.0,2018-02-03,17:12:43,2929.0199999999995,18:01:32,27.66
ID5632779567,2,2,1,-37.8239154,144.9299158,-37.8137032,144.9534586,3408.0,2018-01-04,19:12:05,881.6400000000002,19:26:46,106.43
ID1815008795,0,1,9,-37.8122482,144.9575937,-38.1109156,144.6541725,43128.0,2018-06-24,12:22:20,10438.14,15:16:18,19.93
ID5666968193,2,5,9,-37.8049272,144.9394914,-38.1109156,144.6541725,43455.0,2018-01-20,17:27:50,10437.48,20:21:47,1031.39
ID3141351739,1,1,7,-37.8120673,144.9381956,-37.8618349,144.905716,10817.0,2018-01-16,17:22:34,3501.6000000000004,18:20:55,24.35
ID3397088288,1,3,4,-37.81989,144.9769278,-37.8107703,145.0099334,4071.3,2018-04-11,13:13:29,1039.26,13:30:48,13.58
ID3366090803,1,5,7,-37.8067305,144.9393992,-37.8618349,144.905716,10359.0,2018-06-04,13:29:14,3406.4400000000005,14:26:00,25.42
ID1995170590,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-01-02,23:18:03,4917.479999999999,0:40:00,13.49
ID1357763042,0,6,1,-37.7874325,144.9803767,-37.8033206,144.9511536,4244.0,2018-03-07,16:36:19,1079.8200000000004,16:54:18,8.75
ID3643941499,1,3,4,-37.8211135,144.9824778,-37.8152136,145.0059807,2980.0,2018-07-21,03:12:07,798.8400000000005,3:25:25,21.63
ID1813716359,0,6,1,-37.7907967,144.985865,-37.8146207,144.9691071,3603.0,2018-07-24,16:54:12,1035.5999999999997,17:11:27,7.89
ID3281911026,1,6,3,-37.7874325,144.9803767,-37.8237966,144.9684956,4700.0,2018-01-07,09:41:53,1186.7400000000011,10:01:39,14.6
ID3121215242,1,1,4,-37.8163549,144.9657444,-37.8006678,144.9975125,4159.0,2018-06-23,09:43:22,1115.1,10:01:57,12.76
ID1968547168,0,3,1,-37.8231665,144.9761411,-37.8086087,144.9555205,2948.0,2018-06-22,23:07:06,790.4400000000004,23:20:16,11.78
ID1112643386,0,9,2,-38.1109156,144.6541725,-37.8143155,144.9438313,41847.0,2018-06-07,23:46:45,10028.939999999997,2:33:53,19.5
ID5263169263,2,4,5,-37.8109943,145.010661,-37.798917,144.9356823,7426.0,2018-07-05,16:21:25,1797.4800000000005,16:51:22,195.63
ID3940409324,1,5,9,-37.8173004,144.9257972,-38.1109156,144.6541725,43802.0,2018-07-25,13:09:10,10514.939999999999,16:04:24,58.37
ID1834573345,0,6,1,-37.7738026,144.9836466,-37.8178482,144.9464236,9483.0,2018-02-02,22:25:18,2962.5599999999986,23:14:40,15.06
ID1962905513,0,3,8,-37.8191494,144.9821874,-37.807202,145.0266373,5404.0,2018-04-07,11:05:09,1342.6200000000003,11:27:31,10.91
ID3720768330,1,4,9,-37.8070205,145.0001939,-38.1109156,144.6541725,48540.0,2018-06-06,16:22:50,11704.439999999999,19:37:54,64.07
ID1939126689,0,9,5,-38.1109156,144.6541725,-37.8113128,144.9299071,44140.0,2018-01-26,17:07:56,10571.519999999995,20:04:07,16.28
ID1823458776,0,3,5,-37.819338,144.9836948,-37.8104078,144.9272887,6197.4,2018-04-27,18:45:13,1527.18,19:10:40,8.55
ID1539390282,0,8,6,-37.807202,145.0266373,-37.7738026,144.9836466,11472.9,2018-05-12,18:12:45,3458.9400000000005,19:10:23,13.83
ID1173604223,0,9,3,-38.1109156,144.6541725,-37.814464,144.9854415,45540.0,2018-06-03,03:20:55,10955.82,6:23:30,24.55
