,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID1530894700,0,2,1,-37.818009100000005,144.9485966,-37.805405900000004,144.9744655,3102.0,2018-04-03,06:38:46,736.3200000000003,6:51:02,4.48
1,ID1778027030,0,5,6,-37.8100391,144.9047525,-37.7874325,144.9803767,8639.0,2018-05-13,14:15:10,2352.9,14:54:22,15.68
2,ID1599873860,0,9,3,-38.1109156,144.65417250000002,-37.8117628,144.985371,45570.0,2018-06-11,12:48:54,10891.320000000003,15:50:25,19.12
3,ID3723667905,1,8,4,-37.807202000000004,145.0266373,-37.805036799999996,144.99273090000003,3202.0,2018-03-01,02:09:08,824.6400000000001,2:22:52,9.11
4,ID5797495055,2,2,3,-37.8181278,144.9294773,-37.823244200000005,144.9687669,4338.0,2018-07-23,00:42:44,1063.86,1:00:27,112.48
5,ID3117703484,1,8,5,-37.8158343,145.04645,-37.8149648,144.92756630000002,11849.0,2018-05-19,10:51:35,3286.199999999997,11:46:21,23.51
6,ID1866100840,0,6,3,-37.7907967,144.985865,-37.8235176,144.98966059999998,4099.0,2018-02-08,05:29:35,1155.6,5:48:50,14.33
7,ID5272599509,2,5,6,-37.8029953,144.92810690000002,-37.7874325,144.9803767,6273.0,2018-04-25,11:08:30,1621.62,11:35:31,139.15
8,ID3391825628,1,8,4,-37.8158343,145.04645,-37.800518700000005,145.0018179,5102.0,2018-06-06,21:38:00,1593.1200000000006,22:04:33,9.905
9,ID5555440215,2,4,8,-37.7988037,144.989939,-37.8158343,145.04645,6149.0,2018-06-05,16:25:15,1892.5800000000006,16:56:47,168.58
10,ID1928244591,0,6,1,-37.7874421,144.9804091,-37.799770200000005,144.9577335,3378.0,2018-02-06,13:18:36,871.7400000000001,13:33:07,9.76
11,ID5152010144,2,1,3,-37.8058735,144.9592833,-37.810443400000004,144.9768337,1871.0,2018-01-23,20:48:42,464.4,20:56:26,54.34
12,ID3962482962,1,3,7,-37.8240266,144.9699522,-37.8618349,144.90571599999998,8062.0,2018-03-06,12:13:50,2799.6,13:00:29,21.94
13,ID1636343957,0,4,2,-37.802871,145.01663330000002,-37.814845899999995,144.9375409,8569.0,2018-07-12,00:51:05,2207.22,1:27:52,15.8
14,ID3815491465,1,9,6,-38.1109156,144.65417250000002,-37.7907967,144.985865,47193.0,2018-07-05,09:32:15,11535.780000000008,12:44:30,59.33
15,ID1687954670,0,3,2,-37.8099078,144.97957680000002,-37.8225281,144.9503197,3238.0,2018-03-05,01:34:29,884.8200000000003,1:49:13,7.385
16,ID1784370134,0,4,9,-37.8140401,145.0086487,-38.1109156,144.65417250000002,47847.0,2018-04-08,02:55:32,11455.98,6:06:27,27.2
17,ID3997780781,1,1,4,-37.8009468,144.96852859999998,-37.7979967,145.0009341,3947.0,2018-03-08,11:41:27,1001.7000000000003,11:58:08,7.79
18,ID3542473072,1,5,2,-37.812521200000006,144.9316072,-37.8217122,144.9475388,2879.0,2018-04-05,05:00:14,735.7800000000002,5:12:29,16.74
19,ID3415699069,1,1,8,-37.8012256,144.9531925,-37.8158343,145.04645,8534.0,2018-02-07,21:20:50,2367.66,22:00:17,23.76
